Source;Target;Label;Weight
36;30;2;2
37;30;1;5
40;30;1;10
42;30;2;2
46;30;2;2
47;30;L;0.5
49;30;L;0.5
50;30;1;5
51;30;L;0.5
65;30;3;1
66;30;2;2
68;30;1;5
71;30;12;7
78;30;1;5
79;30;C2;7
81;30;C;5
87;30;CL;5.5
91;30;1;5
92;30;1;5
93;30;1;5
97;30;2;2
100;30;2;2
104;30;C;5
108;30;L;0.5
111;30;3;1
118;30;1;5
119;30;1;5
121;30;C;5
125;30;2L;2.5
128;30;C;5
1;31;L;1
7;31;2L;2.5
12;31;3;1
16;31;1;5
19;31;2;2
20;31;3;1
26;31;1;5
29;31;3;1
32;31;23;3
33;31;L;1.5
35;31;3;1
37;31;2;2
39;31;2;4
44;31;1;5
47;31;L;1
49;31;3;1
51;31;1;5
53;31;2;2
56;31;2;2
57;31;3;1
65;31;L;1
67;31;3L;1.5
69;31;1;5
71;31;1;5
76;31;2L;2.5
78;31;2;2
79;31;L;0.5
80;31;2;2
83;31;C;5
92;31;2;2
93;31;L;0.5
97;31;L;0.5
99;31;L;0.5
100;31;2;2
101;31;L;0.5
103;31;2;2
113;31;L;0.5
119;31;3;2
127;31;L;1.5
128;31;3;1
1;32;2;2
5;32;2;2
8;32;2;2
10;32;C1;10
16;32;1;5
17;32;2;2
19;32;1;10
26;32;2;2
27;32;13;6
29;32;12;9
31;32;23;3
33;32;23;3
34;32;1;5
35;32;2;2
36;32;1;5
39;32;1;10
42;32;1;5
49;32;1;5
53;32;C;5
54;32;3;1
58;32;12;7
61;32;L;0.5
63;32;L;0.5
66;32;3;1
71;32;L;0.5
72;32;C;5
78;32;C2;7
79;32;23;3
81;32;1;5
82;32;1;5
86;32;C;5
91;32;1;5
93;32;2;2
105;32;1;5
110;32;C;5
121;32;L;1
1;33;L;0.5
2;33;2;2
11;33;L;0.5
23;33;C;5
26;33;2L;2.5
29;33;3;1
31;33;L;1.5
32;33;23;3
39;33;2L;2.5
47;33;2L;2.5
55;33;3;1
61;33;3;1
69;33;2;2
71;33;2L;2.5
78;33;2;2
79;33;L;0.5
81;33;L;0.5
89;33;3;2
92;33;2;2
94;33;1;5
98;33;2;2
101;33;2L;2.5
110;33;1;5
113;33;3;1
121;33;L;0.5
123;33;2L;2.5
128;33;1;10
1;34;1;5
6;34;L;0.5
20;34;1L;5.5
32;34;1;5
35;34;1;5
39;34;L;0.5
45;34;L;0.5
47;34;1;5
52;34;L;0.5
60;34;2;2
76;34;1;5
77;34;2;2
78;34;1;5
81;34;1L;5.5
100;34;1;5
108;34;L;0.5
124;34;L;0.5
128;34;2;2
1;35;2L;2.5
4;35;2;2
7;35;C;5
9;35;CL;6
13;35;1;5
17;35;3;1
19;35;C3;6
29;35;2;2
31;35;3;1
32;35;2;2
34;35;1;5
36;35;1;5
45;35;L;0.5
48;35;2;2
49;35;3;1
52;35;1;5
54;35;2;4
55;35;CL;5.5
58;35;2;2
60;35;1;5
63;35;L;0.5
67;35;1;10
69;35;C1L;10.5
73;35;2;2
78;35;1;5
82;35;1;5
87;35;3;1
90;35;C;5
92;35;C;5
94;35;C2;7
103;35;1;5
105;35;1L;5.5
113;35;13L;11.5
118;35;1;5
119;35;12;7
128;35;13;6
1;36;3;1
2;36;2;2
16;36;L;0.5
26;36;L;0.5
27;36;2;2
30;36;2;2
32;36;1;5
35;36;1;5
37;36;2;2
41;36;C2L;7.5
42;36;L;0.5
45;36;1;5
51;36;1;5
52;36;2;2
55;36;1;5
58;36;2;2
62;36;C;5
63;36;L;0.5
79;36;1;5
81;36;2;2
82;36;C;5
89;36;3;1
93;36;L;0.5
100;36;2;2
103;36;1;10
105;36;1;10
106;36;C;5
113;36;2;2
116;36;C2;7
117;36;C;5
121;36;1L;5.5
123;36;1;5
124;36;1;5
128;36;1;5
1;37;3;1
4;37;1;5
6;37;L;0.5
11;37;1;5
12;37;1;5
16;37;L;0.5
17;37;L;0.5
20;37;1;5
30;37;1;5
31;37;2;2
36;37;2;2
39;37;2;2
41;37;12;9
42;37;2;2
45;37;C;5
48;37;L;1
54;37;2;2
57;37;L;0.5
58;37;L;0.5
65;37;2;2
79;37;1L;5.5
80;37;1;5
81;37;12;7
89;37;2;2
95;37;2;2
98;37;L;0.5
101;37;1;5
103;37;C12;12
106;37;L;0.5
113;37;1;5
117;37;1;10
4;38;2L;2.5
5;38;C;5
9;38;2;2
44;38;C;5
47;38;C;5
49;38;2;2
54;38;1;5
57;38;C;5
74;38;1;5
78;38;1;5
83;38;L;0.5
88;38;C2;7
94;38;2;2
99;38;CL;5.5
104;38;1;5
107;38;C;5
114;38;C;5
123;38;L;0.5
1;39;1;5
7;39;3;1
19;39;2;2
20;39;L;0.5
26;39;2;2
31;39;2;4
32;39;1;10
33;39;2L;2.5
34;39;L;0.5
37;39;2;2
48;39;1;5
51;39;C2;9
53;39;L;0.5
54;39;1;5
63;39;1;5
71;39;L;1
73;39;1;5
77;39;12;7
79;39;2;2
80;39;1;5
81;39;3L;1.5
83;39;1;5
86;39;2;2
87;39;L;0.5
89;39;13;6
92;39;2;2
93;39;L;0.5
95;39;3;1
97;39;2;2
103;39;13;6
111;39;3;1
113;39;1;5
115;39;2;2
118;39;1;5
123;39;2;2
127;39;C;5
128;39;L;0.5
2;40;2;4
12;40;1;10
17;40;2;2
27;40;1;10
28;40;1;5
29;40;1;5
30;40;1;10
41;40;L;0.5
53;40;1;5
56;40;2;2
57;40;1;5
66;40;1;5
71;40;2;2
74;40;1;5
76;40;3;1
79;40;2;2
95;40;3;1
97;40;1;5
98;40;L;0.5
100;40;1;5
103;40;L;0.5
105;40;2;2
111;40;2;2
113;40;2;2
121;40;2;2
123;40;1;5
125;40;1;5
4;41;3;1
7;41;1;5
13;41;1;5
20;41;1;5
36;41;C2L;7.5
37;41;12;9
40;41;L;0.5
42;41;L;0.5
57;41;2;2
62;41;C1;10
67;41;1;5
74;41;1;10
76;41;1;5
77;41;1;5
82;41;C1;10
89;41;2;2
93;41;2;2
94;41;2;2
95;41;2;2
97;41;2;2
106;41;C1;10
111;41;L;0.5
113;41;L;0.5
116;41;C;5
117;41;CL;5.5
124;41;L;0.5
128;41;1;5
7;42;1;5
8;42;2;2
13;42;2;2
17;42;3;1
20;42;12;7
26;42;12;7
27;42;1;5
30;42;2;2
32;42;1;5
36;42;L;0.5
37;42;2;2
41;42;L;0.5
46;42;L;0.5
47;42;23;3
48;42;2;2
50;42;2L;4.5
51;42;L;0.5
52;42;2;2
58;42;2;2
61;42;3;1
62;42;12;7
65;42;23;3
71;42;1;5
72;42;1;5
77;42;L;0.5
79;42;2L;2.5
80;42;1;5
82;42;2;2
83;42;1;5
87;42;1L;5.5
93;42;L;1
95;42;23;3
100;42;1;5
101;42;3;1
116;42;L;0.5
121;42;3;1
124;42;2;2
9;43;2;2
26;43;2;2
82;43;1;5
86;43;2;2
96;43;1;5
98;43;L;0.5
99;43;1;5
101;43;1;5
111;43;C;5
125;43;L;0.5
